ItemName,ExtracellularBackground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY030 I 36C 6,485.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY030 I 36C 7,490.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY030 I 36C 8,490.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY030 I 36C 9,487.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY030 I 36C 10,491.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY030 I 36C 11,484.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY030 I 36C 12,488.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY030 I 36C 13,492.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY030 I 36C 14,488.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY030 I 36C 15,496.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY030 I 36C 16,490.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY030 I 36C 17,488.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY030 I 36C 18,487.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
