filename,Name,ID,Volume (µm³),Min (roGFP 470),Max (roGFP 470),Mean (roGFP 470),Sum (roGFP 470),Standard Deviation (roGFP 470),Min (mCherry double),Max (mCherry double),Mean (mCherry double),Sum (mCherry double),Standard Deviation (mCherry double),"Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))",Centroid X (µm),Centroid Y (µm),Centroid Z (µm),Item Name,Population,Type,Number of contained Mito,Compartment ROIs ID
GTY030 clump 25C 02 m-35.csv,Mito 11,12,1.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,470.93,1524.77,850.37,911594.44,182.41,NA,NA,NA,NA,NA,63.46,45.03,2.17,GTY030 clump 25C,Mito,Object,NA,1
GTY030 clump 25C 02 m-35.csv,Mito 12,13,0.477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,363.87,1324.58,773.86,310317.28,162.22,NA,NA,NA,NA,NA,61.77,49.72,2.48,GTY030 clump 25C,Mito,Object,NA,1
GTY030 clump 25C 02 m-35.csv,Mito 17,18,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,456.45,769.37,636.39,58547.8,69.11,NA,NA,NA,NA,NA,65.38,45.3,3.02,GTY030 clump 25C,Mito,Object,NA,1
GTY030 clump 25C 02 m-35.csv,Mito 19,20,1.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,499.66,23765.67,1290.67,1673997.63,2379.33,NA,NA,NA,NA,NA,63.7,47.64,3.21,GTY030 clump 25C,Mito,Object,NA,1
GTY030 clump 25C 02 m-50.csv,ROIs 1,1,244.65,436,3319,639.04,131000000,103.32,218,2068,385.56,79218733,125.78,161.88,55542.91,640.05,132000000,569.91,19.77,21670.55,403.49,82903680,720.62,NA,NA,NA,GTY030 clump 25C,ROIs,Object,4,NA
GTY030 clump 25C 02 m-50.csv,Mito 10,11,1.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,453.19,1524.77,836.16,1095367.75,180.55,NA,NA,NA,NA,NA,63.51,45.04,2.14,GTY030 clump 25C,Mito,Object,NA,1
GTY030 clump 25C 02 m-50.csv,Mito 12,13,0.569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,360.75,1324.58,764.42,365392.13,158.65,NA,NA,NA,NA,NA,61.75,49.72,2.5,GTY030 clump 25C,Mito,Object,NA,1
GTY030 clump 25C 02 m-50.csv,Mito 18,19,0.132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,456.45,769.37,634.09,70383.87,69.46,NA,NA,NA,NA,NA,65.38,45.3,3.02,GTY030 clump 25C,Mito,Object,NA,1
GTY030 clump 25C 02 m-50.csv,Mito 20,21,1.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,497.58,30594.45,1294.17,2126324.5,2446.32,NA,NA,NA,NA,NA,63.7,47.65,3.22,GTY030 clump 25C,Mito,Object,NA,1
GTY030 clump 25C 03 m-25.csv,ROIs 1,1,261.27,445,987,616.69,135000000,53.66,207,2238,419.11,91964200,164.63,292.35,6645.59,609.86,134000000,124.72,7.28,22567.2,430.34,94428584,692.03,NA,NA,NA,GTY030 clump 25C,ROIs,Object,5,NA
GTY030 clump 25C 03 m-25.csv,Mito 2,3,0.144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,681.53,914.47,792.11,95845.43,58.96,NA,NA,NA,NA,NA,70.7,25.39,1.39,GTY030 clump 25C,Mito,Object,NA,1
GTY030 clump 25C 03 m-25.csv,Mito 3,4,0.0155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,627.29,816.62,728.04,9464.5,60.12,NA,NA,NA,NA,NA,71.38,26.06,1.25,GTY030 clump 25C,Mito,Object,NA,1
GTY030 clump 25C 03 m-25.csv,Mito 4,5,0.569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,579.91,1573.99,801.5,383116.59,89.36,NA,NA,NA,NA,NA,71.59,26.51,1.62,GTY030 clump 25C,Mito,Object,NA,1
GTY030 clump 25C 03 m-25.csv,Mito 14,15,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,540.17,1079.69,803.63,253144.14,92.53,NA,NA,NA,NA,NA,73.19,28.29,2.02,GTY030 clump 25C,Mito,Object,NA,1
GTY030 clump 25C 03 m-25.csv,Mito 20,21,2.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,438.34,1525.48,775.8,1530654,190.75,NA,NA,NA,NA,NA,68.62,25.64,2.91,GTY030 clump 25C,Mito,Object,NA,1
GTY030 clump 25C 03 m-35.csv,ROIs 1,1,261.27,445,987,616.69,135000000,53.66,207,2238,419.11,91964200,164.63,292.35,6645.59,609.86,134000000,124.72,7.28,22567.2,430.34,94428584,692.03,NA,NA,NA,GTY030 clump 25C,ROIs,Object,3,NA
GTY030 clump 25C 03 m-35.csv,Mito 3,4,2.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,427.83,1525.48,769.55,1698406.25,189.41,NA,NA,NA,NA,NA,68.64,25.61,2.92,GTY030 clump 25C,Mito,Object,NA,1
GTY030 clump 25C 03 m-35.csv,Mito 4,5,0.962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,579.91,1636.92,799.53,646023.88,92.54,NA,NA,NA,NA,NA,71.4,26.24,1.56,GTY030 clump 25C,Mito,Object,NA,1
GTY030 clump 25C 03 m-35.csv,Mito 14,15,0.435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,538.66,1079.69,800.82,292300.81,95.47,NA,NA,NA,NA,NA,73.19,28.29,2.02,GTY030 clump 25C,Mito,Object,NA,1
GTY030 clump 25C 03 m-50.csv,ROIs 1,1,261.27,445,987,616.69,135000000,53.66,207,2238,419.11,91964200,164.63,292.35,6645.59,609.86,134000000,124.72,7.28,22567.2,430.34,94428584,692.03,NA,NA,NA,GTY030 clump 25C,ROIs,Object,3,NA
GTY030 clump 25C 03 m-50.csv,Mito 2,3,1.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,579.91,1857.4,797.18,928716.13,109.3,NA,NA,NA,NA,NA,71.38,26.23,1.58,GTY030 clump 25C,Mito,Object,NA,1
GTY030 clump 25C 03 m-50.csv,Mito 14,15,0.562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,538.66,1127.51,792.67,374141.56,99.46,NA,NA,NA,NA,NA,73.17,28.28,2.05,GTY030 clump 25C,Mito,Object,NA,1
GTY030 clump 25C 03 m-50.csv,Mito 16,17,3.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,371.79,1525.48,758.23,2069216,187.62,NA,NA,NA,NA,NA,68.68,25.6,2.93,GTY030 clump 25C,Mito,Object,NA,1
GTY030 clump 25C 04 m-25.csv,ROIs 1,1,308.91,434,1053,610.16,158000000,53.25,234,3030,475.65,123000000,170.34,311.73,6139.19,602,156000000,127.94,7.28,32069.88,493.59,128000000,993.97,NA,NA,NA,GTY030 clump 25C,ROIs,Object,8,NA
GTY030 clump 25C 04 m-25.csv,Mito 1,2,0.223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,611.15,1111.55,805.91,150704.58,103.95,NA,NA,NA,NA,NA,70.31,19.37,1.47,GTY030 clump 25C,Mito,Object,NA,1
GTY030 clump 25C 04 m-25.csv,Mito 5,6,0.255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,628.86,1063.37,853.88,182730.69,99.8,NA,NA,NA,NA,NA,69.04,17.83,1.76,GTY030 clump 25C,Mito,Object,NA,1
GTY030 clump 25C 04 m-25.csv,Mito 6,7,1.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,516.04,5269.49,865.73,999052.06,407.72,NA,NA,NA,NA,NA,67.55,18.23,1.73,GTY030 clump 25C,Mito,Object,NA,1
GTY030 clump 25C 04 m-25.csv,Mito 7,8,0.363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,463.89,1428.75,862.49,263059.72,234.47,NA,NA,NA,NA,NA,69.95,21.06,2.56,GTY030 clump 25C,Mito,Object,NA,1
GTY030 clump 25C 04 m-25.csv,Mito 12,13,0.793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,458.21,1378.34,773.58,515204.88,178.9,NA,NA,NA,NA,NA,66.83,19.79,2.92,GTY030 clump 25C,Mito,Object,NA,1
GTY030 clump 25C 04 m-25.csv,Mito 13,14,0.763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,488.72,1190.44,778.52,499032.75,121.49,NA,NA,NA,NA,NA,65.49,24.28,2.03,GTY030 clump 25C,Mito,Object,NA,1
GTY030 clump 25C 04 m-25.csv,Mito 19,20,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,389.75,1324.03,757.29,824692.06,169.51,NA,NA,NA,NA,NA,67.47,23.46,2.82,GTY030 clump 25C,Mito,Object,NA,1
GTY030 clump 25C 04 m-25.csv,Mito 23,24,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,477.47,1533,824.81,179808.17,268.51,NA,NA,NA,NA,NA,70,19.99,3.72,GTY030 clump 25C,Mito,Object,NA,1
GTY030 clump 25C 04 m-35.csv,ROIs 1,1,308.91,434,1053,610.16,158000000,53.25,234,3030,475.65,123000000,170.34,311.73,6139.19,602,156000000,127.94,7.28,32069.88,493.59,128000000,993.97,NA,NA,NA,GTY030 clump 25C,ROIs,Object,8,NA
GTY030 clump 25C 04 m-35.csv,Mito 1,2,0.257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,611.15,1111.55,807.57,174434.34,101.44,NA,NA,NA,NA,NA,70.31,19.38,1.46,GTY030 clump 25C,Mito,Object,NA,1
GTY030 clump 25C 04 m-35.csv,Mito 2,3,0.848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,482.68,1190.44,773.59,550799.5,123.05,NA,NA,NA,NA,NA,65.5,24.27,2.03,GTY030 clump 25C,Mito,Object,NA,1
GTY030 clump 25C 04 m-35.csv,Mito 5,6,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,628.86,1063.37,848.73,220669.91,97.27,NA,NA,NA,NA,NA,69.03,17.84,1.78,GTY030 clump 25C,Mito,Object,NA,1
GTY030 clump 25C 04 m-35.csv,Mito 6,7,1.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,516.04,5269.49,863,1190080.25,406.92,NA,NA,NA,NA,NA,67.56,18.25,1.74,GTY030 clump 25C,Mito,Object,NA,1
GTY030 clump 25C 04 m-35.csv,Mito 7,8,0.405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,463.89,1428.75,849.72,288904.53,231.93,NA,NA,NA,NA,NA,69.94,21.06,2.58,GTY030 clump 25C,Mito,Object,NA,1
GTY030 clump 25C 04 m-35.csv,Mito 13,14,0.888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,458.21,1378.34,766.88,572094.19,178.82,NA,NA,NA,NA,NA,66.83,19.79,2.93,GTY030 clump 25C,Mito,Object,NA,1
GTY030 clump 25C 04 m-35.csv,Mito 18,19,1.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,389.75,1324.03,750.36,917691.5,168.99,NA,NA,NA,NA,NA,67.46,23.44,2.83,GTY030 clump 25C,Mito,Object,NA,1
GTY030 clump 25C 04 m-35.csv,Mito 21,22,0.299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,477.47,1533,823.78,206769.67,265.84,NA,NA,NA,NA,NA,70,20,3.7,GTY030 clump 25C,Mito,Object,NA,1
GTY030 clump 25C 04 m-50.csv,ROIs 1,1,308.91,434,1053,610.16,158000000,53.25,234,3030,475.65,123000000,170.34,311.73,6139.19,602,156000000,127.94,7.28,32069.88,493.59,128000000,993.97,NA,NA,NA,GTY030 clump 25C,ROIs,Object,8,NA
GTY030 clump 25C 04 m-50.csv,Mito 1,2,0.348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,608.29,1111.55,798.43,233142.06,97.85,NA,NA,NA,NA,NA,70.29,19.38,1.48,GTY030 clump 25C,Mito,Object,NA,1
GTY030 clump 25C 04 m-50.csv,Mito 3,4,0.391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,561.07,1063.37,844.8,277095.91,99.82,NA,NA,NA,NA,NA,69.02,17.85,1.79,GTY030 clump 25C,Mito,Object,NA,1
GTY030 clump 25C 04 m-50.csv,Mito 6,7,2.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,511.89,5269.49,860.13,1598976,410.33,NA,NA,NA,NA,NA,67.57,18.26,1.75,GTY030 clump 25C,Mito,Object,NA,1
GTY030 clump 25C 04 m-50.csv,Mito 7,8,0.493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,463.89,1428.75,835.75,346001.81,231.42,NA,NA,NA,NA,NA,69.94,21.06,2.58,GTY030 clump 25C,Mito,Object,NA,1
GTY030 clump 25C 04 m-50.csv,Mito 11,12,1.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,468.84,1190.44,767.68,655600.56,124.32,NA,NA,NA,NA,NA,65.52,24.26,2.02,GTY030 clump 25C,Mito,Object,NA,1
GTY030 clump 25C 04 m-50.csv,Mito 13,14,1.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,438.65,1386.8,759.17,709827.88,183.33,NA,NA,NA,NA,NA,66.82,19.76,2.94,GTY030 clump 25C,Mito,Object,NA,1
GTY030 clump 25C 04 m-50.csv,Mito 19,20,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,389.75,1324.03,737.07,1085708.25,168.92,NA,NA,NA,NA,NA,67.45,23.43,2.85,GTY030 clump 25C,Mito,Object,NA,1
GTY030 clump 25C 04 m-50.csv,Mito 21,22,0.374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,477.47,1533,818.05,256868.39,260.02,NA,NA,NA,NA,NA,70,20.01,3.68,GTY030 clump 25C,Mito,Object,NA,1
GTY030 clump 25C 10 01 m-25.csv,ROIs 1,1,296.18,407,885,555.33,138000000,35.91,211,676,301.62,75025858,32.36,305.91,4288.62,554.88,138000000,89.88,50.98,6001.77,302.16,75160168,137.22,NA,NA,NA,GTY030 clump 25C 10,ROIs,Object,7,NA
GTY030 clump 25C 10 01 m-25.csv,Mito 6,7,0.169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,495.44,769.72,631.38,89655.51,47.44,NA,NA,NA,NA,NA,19.56,41.52,2.37,GTY030 clump 25C 10,Mito,Object,NA,1
GTY030 clump 25C 10 01 m-25.csv,Mito 7,8,0.552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,397.27,1565.54,660.49,306466.94,150.96,NA,NA,NA,NA,NA,15.93,41.82,2.4,GTY030 clump 25C 10,Mito,Object,NA,1
GTY030 clump 25C 10 01 m-25.csv,Mito 9,10,0.273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,415.51,801.18,593.3,135866.66,79.11,NA,NA,NA,NA,NA,18.7,41.79,2.4,GTY030 clump 25C 10,Mito,Object,NA,1
GTY030 clump 25C 10 01 m-25.csv,Mito 20,21,0.312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,461.36,931.21,705.42,184820.7,86.47,NA,NA,NA,NA,NA,18.8,44.74,2.67,GTY030 clump 25C 10,Mito,Object,NA,1
GTY030 clump 25C 10 01 m-25.csv,Mito 21,22,0.307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,491.43,932.72,643.23,165952.22,87.51,NA,NA,NA,NA,NA,20.38,44.35,2.79,GTY030 clump 25C 10,Mito,Object,NA,1
GTY030 clump 25C 10 01 m-25.csv,Mito 35,36,0.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,406.48,962.2,602.77,288725.56,90.51,NA,NA,NA,NA,NA,18.42,40.64,3.03,GTY030 clump 25C 10,Mito,Object,NA,1
GTY030 clump 25C 10 01 m-25.csv,Mito 37,38,0.714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,432.44,2319.77,734.61,440763.09,196.09,NA,NA,NA,NA,NA,17.23,42.68,3.1,GTY030 clump 25C 10,Mito,Object,NA,1
GTY030 clump 25C 10 01 m-35.csv,ROIs 1,1,296.18,407,885,555.33,138000000,35.91,211,676,301.62,75025858,32.36,305.91,4288.62,554.88,138000000,89.88,50.98,6001.77,302.16,75160168,137.22,NA,NA,NA,GTY030 clump 25C 10,ROIs,Object,6,NA
GTY030 clump 25C 10 01 m-35.csv,Mito 6,7,0.601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,415.51,835.62,610.86,308482.06,70.82,NA,NA,NA,NA,NA,19.08,41.66,2.38,GTY030 clump 25C 10,Mito,Object,NA,1
GTY030 clump 25C 10 01 m-35.csv,Mito 7,8,0.689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,393.87,1978.81,680.18,393823.88,202.07,NA,NA,NA,NA,NA,15.93,41.82,2.4,GTY030 clump 25C 10,Mito,Object,NA,1
GTY030 clump 25C 10 01 m-35.csv,Mito 17,18,0.775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,406.48,962.2,600.2,390727.5,86.18,NA,NA,NA,NA,NA,18.41,40.66,3.04,GTY030 clump 25C 10,Mito,Object,NA,1
GTY030 clump 25C 10 01 m-35.csv,Mito 21,22,0.417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,438.68,931.21,696.54,243789.36,89.57,NA,NA,NA,NA,NA,18.83,44.73,2.66,GTY030 clump 25C 10,Mito,Object,NA,1
GTY030 clump 25C 10 01 m-35.csv,Mito 33,34,0.881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,425.01,2319.77,728.55,539127.5,200.7,NA,NA,NA,NA,NA,17.24,42.71,3.09,GTY030 clump 25C 10,Mito,Object,NA,1
GTY030 clump 25C 10 01 m-35.csv,Mito 34,35,0.438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,473.26,932.72,641.24,235976.69,84.03,NA,NA,NA,NA,NA,20.33,44.36,2.78,GTY030 clump 25C 10,Mito,Object,NA,1
GTY030 clump 25C 10 01 m-50.csv,ROIs 1,1,296.18,407,885,555.33,138000000,35.91,211,676,301.62,75025858,32.36,305.91,4288.62,554.88,138000000,89.88,50.98,6001.77,302.16,75160168,137.22,NA,NA,NA,GTY030 clump 25C 10,ROIs,Object,5,NA
GTY030 clump 25C 10 01 m-50.csv,Mito 2,3,1.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,367.8,879.7,606.33,548123.19,75.33,NA,NA,NA,NA,NA,19.09,41.65,2.36,GTY030 clump 25C 10,Mito,Object,NA,1
GTY030 clump 25C 10 01 m-50.csv,Mito 11,12,0.987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,340.47,2135.75,682.49,565780.81,209.67,NA,NA,NA,NA,NA,15.95,41.81,2.41,GTY030 clump 25C 10,Mito,Object,NA,1
GTY030 clump 25C 10 01 m-50.csv,Mito 20,21,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,379.28,962.2,589.84,596921.25,85.91,NA,NA,NA,NA,NA,18.43,40.66,3.04,GTY030 clump 25C 10,Mito,Object,NA,1
GTY030 clump 25C 10 01 m-50.csv,Mito 21,22,1.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,366.6,2319.77,707.9,752493.31,202.17,NA,NA,NA,NA,NA,17.25,42.7,3.11,GTY030 clump 25C 10,Mito,Object,NA,1
GTY030 clump 25C 10 01 m-50.csv,Mito 22,23,1.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,390.49,932.72,647.09,832162.63,90.64,NA,NA,NA,NA,NA,19.65,44.54,2.73,GTY030 clump 25C 10,Mito,Object,NA,1
GTY030 clump 25C 10 02 m-25.csv,ROIs 1,1,332.76,428,1030,568.06,159000000,38.08,218,858,330.68,92414948,48.21,320.11,8197.31,568.08,159000000,108.47,38.51,6599.84,333.62,93236480,265.03,NA,NA,NA,GTY030 clump 25C 10,ROIs,Object,5,NA
