filename,ID,Item Name,Name,Population,Type,Voxel Count,Volume (µm³),Min (mCherry double),Max (mCherry double),Mean (mCherry double),Sum (mCherry double),Standard Deviation (mCherry double),"Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))",Centroid X (µm),Centroid Y (µm),Centroid Z (µm),Number of contained Mito,Compartment ROIs ID,Min (roGFP 470),Max (roGFP 470),Mean (roGFP 470),Sum (roGFP 470),Standard Deviation (roGFP 470)
PSY106 clump 25C 01 m-35.csv,1,PSY106 clump 25C,ROIs 1,ROIs,Object,318465,379.2,233,1788,391.97,125000000,112.72,282.86,2790.36,653.41,208000000,155.52,0.486,22581.23,405.11,129000000,716.72,NA,NA,NA,8,NA,NA,NA,NA,NA,NA
PSY106 clump 25C 01 m-35.csv,6,PSY106 clump 25C,Mito 5,Mito,Object,982,1.17,NA,NA,NA,NA,NA,583.79,1829.7,1032.34,1013753.25,190.59,NA,NA,NA,NA,NA,13.9,35.87,2.31,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 01 m-35.csv,7,PSY106 clump 25C,Mito 6,Mito,Object,285,0.339,NA,NA,NA,NA,NA,558.55,2102.12,1177.18,335497.13,346.35,NA,NA,NA,NA,NA,17.19,36.98,2.53,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 01 m-35.csv,8,PSY106 clump 25C,Mito 7,Mito,Object,691,0.823,NA,NA,NA,NA,NA,524.83,2105.84,990.87,684688,229.81,NA,NA,NA,NA,NA,18.83,37.11,2.55,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 01 m-35.csv,9,PSY106 clump 25C,Mito 8,Mito,Object,282,0.336,NA,NA,NA,NA,NA,607.9,1628.63,1057.93,298336.97,221.5,NA,NA,NA,NA,NA,16.94,39,2.4,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 01 m-35.csv,10,PSY106 clump 25C,Mito 9,Mito,Object,618,0.736,NA,NA,NA,NA,NA,500.32,1368.13,892.53,551582.44,159.02,NA,NA,NA,NA,NA,14.99,40.8,2.27,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 01 m-35.csv,20,PSY106 clump 25C,Mito 19,Mito,Object,611,0.728,NA,NA,NA,NA,NA,590.66,1909.7,1113.48,680333.5,306.86,NA,NA,NA,NA,NA,14.5,43.1,2.84,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 01 m-35.csv,23,PSY106 clump 25C,Mito 22,Mito,Object,97,0.115,NA,NA,NA,NA,NA,430.46,1271.63,772.18,74901.81,226.7,NA,NA,NA,NA,NA,18.6,35.25,3.01,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 01 m-35.csv,24,PSY106 clump 25C,Mito 23,Mito,Object,102,0.121,NA,NA,NA,NA,NA,526.77,1730.34,891.36,90918.22,291.29,NA,NA,NA,NA,NA,15.39,37.89,3.11,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 01 m-50.csv,1,PSY106 clump 25C,ROIs 1,ROIs,Object,318465,379.2,233,1788,391.97,125000000,112.72,282.86,2790.36,653.41,208000000,155.52,0.486,22581.23,405.11,129000000,716.72,NA,NA,NA,8,NA,NA,NA,NA,NA,NA
PSY106 clump 25C 01 m-50.csv,2,PSY106 clump 25C,Mito 1,Mito,Object,827,0.985,NA,NA,NA,NA,NA,500.32,1443.25,894.02,739354.88,166.68,NA,NA,NA,NA,NA,15,40.8,2.28,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 01 m-50.csv,8,PSY106 clump 25C,Mito 7,Mito,Object,1215,1.45,NA,NA,NA,NA,NA,583.79,1829.7,1024.8,1245128.88,189.99,NA,NA,NA,NA,NA,13.9,35.87,2.34,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 01 m-50.csv,9,PSY106 clump 25C,Mito 8,Mito,Object,326,0.388,NA,NA,NA,NA,NA,558.55,2102.12,1152.2,375618.13,339.8,NA,NA,NA,NA,NA,17.18,36.98,2.53,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 01 m-50.csv,10,PSY106 clump 25C,Mito 9,Mito,Object,344,0.41,NA,NA,NA,NA,NA,574.32,1628.63,1036.33,356495.94,236.01,NA,NA,NA,NA,NA,16.94,39,2.42,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 01 m-50.csv,18,PSY106 clump 25C,Mito 17,Mito,Object,757,0.901,NA,NA,NA,NA,NA,515.03,1909.7,1084.98,821329.38,303.78,NA,NA,NA,NA,NA,14.51,43.09,2.86,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 01 m-50.csv,20,PSY106 clump 25C,Mito 19,Mito,Object,111,0.132,NA,NA,NA,NA,NA,413.57,1271.63,765.89,85013.77,234.84,NA,NA,NA,NA,NA,18.61,35.25,3.01,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 01 m-50.csv,21,PSY106 clump 25C,Mito 20,Mito,Object,844,1,NA,NA,NA,NA,NA,481.08,2105.84,975.19,823061.63,240.72,NA,NA,NA,NA,NA,18.83,37.11,2.55,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 01 m-50.csv,24,PSY106 clump 25C,Mito 23,Mito,Object,134,0.16,NA,NA,NA,NA,NA,526.77,1730.34,856.09,114716.49,280.58,NA,NA,NA,NA,NA,15.4,37.89,3.14,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 02 m-25.csv,1,PSY106 clump 25C,ROIs 1,ROIs,Object,252987,301.23,229,1816,404.89,102000000,116.9,199.42,15508.15,685.23,173000000,213.46,15.78,23013.76,425.44,108000000,753.96,NA,NA,NA,8,NA,NA,NA,NA,NA,NA
PSY106 clump 25C 02 m-25.csv,3,PSY106 clump 25C,Mito 2,Mito,Object,161,0.192,NA,NA,NA,NA,NA,545.01,1009.24,714.05,114962.34,82.08,NA,NA,NA,NA,NA,18.12,46.74,2.03,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 02 m-25.csv,11,PSY106 clump 25C,Mito 10,Mito,Object,377,0.449,NA,NA,NA,NA,NA,478.22,2272.49,1013.74,382180.56,361.24,NA,NA,NA,NA,NA,18.93,43.89,2.64,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 02 m-25.csv,12,PSY106 clump 25C,Mito 11,Mito,Object,257,0.306,NA,NA,NA,NA,NA,559.6,1424.33,979.28,251676.14,188.31,NA,NA,NA,NA,NA,17.12,45.19,2.51,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 02 m-25.csv,13,PSY106 clump 25C,Mito 12,Mito,Object,429,0.511,NA,NA,NA,NA,NA,624.23,1442.56,942.04,404135.94,141.27,NA,NA,NA,NA,NA,21.11,46.1,2.22,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 02 m-25.csv,14,PSY106 clump 25C,Mito 13,Mito,Object,119,0.142,NA,NA,NA,NA,NA,618.09,1191.44,897.05,106748.41,122.7,NA,NA,NA,NA,NA,18.13,47.86,2.34,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 02 m-25.csv,17,PSY106 clump 25C,Mito 16,Mito,Object,183,0.218,NA,NA,NA,NA,NA,587.35,1412.72,970.76,177648.28,164.09,NA,NA,NA,NA,NA,17.2,46.87,2.73,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 02 m-25.csv,22,PSY106 clump 25C,Mito 21,Mito,Object,493,0.587,NA,NA,NA,NA,NA,526.45,1498.73,910.13,448692.91,202.11,NA,NA,NA,NA,NA,20.88,49.67,2.49,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 02 m-25.csv,26,PSY106 clump 25C,Mito 25,Mito,Object,830,0.988,NA,NA,NA,NA,NA,593.86,1966.66,1142.85,948568.06,267.3,NA,NA,NA,NA,NA,20.68,51.95,2.68,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 02 m-35.csv,1,PSY106 clump 25C,ROIs 1,ROIs,Object,252987,301.23,229,1816,404.89,102000000,116.9,199.42,15508.15,685.23,173000000,213.46,15.78,23013.76,425.44,108000000,753.96,NA,NA,NA,8,NA,NA,NA,NA,NA,NA
PSY106 clump 25C 02 m-35.csv,2,PSY106 clump 25C,Mito 1,Mito,Object,418,0.498,NA,NA,NA,NA,NA,438.42,2308.47,1009.55,421990.66,367.79,NA,NA,NA,NA,NA,18.94,43.89,2.64,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 02 m-35.csv,3,PSY106 clump 25C,Mito 2,Mito,Object,214,0.255,NA,NA,NA,NA,NA,529,1018.41,715.18,153048.59,85.78,NA,NA,NA,NA,NA,18.13,46.75,2.06,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 02 m-35.csv,11,PSY106 clump 25C,Mito 10,Mito,Object,305,0.363,NA,NA,NA,NA,NA,520.42,1477.65,973.08,296790.72,195.71,NA,NA,NA,NA,NA,17.12,45.19,2.52,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 02 m-35.csv,12,PSY106 clump 25C,Mito 11,Mito,Object,511,0.608,NA,NA,NA,NA,NA,614.93,1442.56,934.99,477781.81,143.21,NA,NA,NA,NA,NA,21.13,46.1,2.23,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 02 m-35.csv,13,PSY106 clump 25C,Mito 12,Mito,Object,129,0.154,NA,NA,NA,NA,NA,618.09,1191.44,900.55,116171.11,125.56,NA,NA,NA,NA,NA,18.13,47.87,2.33,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 02 m-35.csv,18,PSY106 clump 25C,Mito 17,Mito,Object,210,0.25,NA,NA,NA,NA,NA,587.35,1460.16,983.29,206490.27,176.95,NA,NA,NA,NA,NA,17.2,46.87,2.69,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 02 m-35.csv,21,PSY106 clump 25C,Mito 20,Mito,Object,551,0.656,NA,NA,NA,NA,NA,526.45,1512.82,911.55,502263.53,202.33,NA,NA,NA,NA,NA,20.88,49.69,2.48,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 02 m-35.csv,25,PSY106 clump 25C,Mito 24,Mito,Object,935,1.11,NA,NA,NA,NA,NA,593.86,2152.66,1133.97,1060261.25,268.38,NA,NA,NA,NA,NA,20.67,51.95,2.7,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 02 m-50.csv,1,PSY106 clump 25C,ROIs 1,ROIs,Object,252987,301.23,229,1816,404.89,102000000,116.9,199.42,15508.15,685.23,173000000,213.46,15.78,23013.76,425.44,108000000,753.96,NA,NA,NA,8,NA,NA,NA,NA,NA,NA
PSY106 clump 25C 02 m-50.csv,3,PSY106 clump 25C,Mito 2,Mito,Object,514,0.612,NA,NA,NA,NA,NA,436.99,2308.47,997.14,512529.09,375.63,NA,NA,NA,NA,NA,18.95,43.89,2.66,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 02 m-50.csv,4,PSY106 clump 25C,Mito 3,Mito,Object,318,0.379,NA,NA,NA,NA,NA,495.77,1018.41,718.52,228490.27,89.56,NA,NA,NA,NA,NA,18.15,46.76,2.07,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 02 m-50.csv,11,PSY106 clump 25C,Mito 10,Mito,Object,397,0.473,NA,NA,NA,NA,NA,501.3,1477.65,949.83,377080.72,212.26,NA,NA,NA,NA,NA,17.13,45.19,2.56,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 02 m-50.csv,12,PSY106 clump 25C,Mito 11,Mito,Object,685,0.816,NA,NA,NA,NA,NA,508.62,1603.05,923.56,632641.31,159.2,NA,NA,NA,NA,NA,21.16,46.1,2.25,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 02 m-50.csv,13,PSY106 clump 25C,Mito 12,Mito,Object,170,0.202,NA,NA,NA,NA,NA,618.09,1205.67,905.98,154017.11,131.8,NA,NA,NA,NA,NA,18.13,47.87,2.34,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 02 m-50.csv,19,PSY106 clump 25C,Mito 18,Mito,Object,271,0.323,NA,NA,NA,NA,NA,587.35,1460.16,972.74,263611.91,184.98,NA,NA,NA,NA,NA,17.2,46.87,2.7,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 02 m-50.csv,22,PSY106 clump 25C,Mito 21,Mito,Object,693,0.825,NA,NA,NA,NA,NA,526.45,2031.56,912.47,632343,218.6,NA,NA,NA,NA,NA,20.88,49.7,2.48,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 02 m-50.csv,25,PSY106 clump 25C,Mito 24,Mito,Object,1202,1.43,NA,NA,NA,NA,NA,593.86,2155.37,1116.98,1342612,272.11,NA,NA,NA,NA,NA,20.65,51.96,2.73,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 03 m-25.csv,1,PSY106 clump 25C,ROIs 1,ROIs,Object,242298,288.5,239,2334,410.81,99538289,139.82,269.39,11714.89,697.43,169000000,216.45,4.84,30966.68,433.61,105000000,855.53,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
PSY106 clump 25C 03 m-25.csv,6,PSY106 clump 25C,Mito 5,Mito,Object,148,0.176,NA,NA,NA,NA,NA,544.51,1532.33,920.7,136263.72,217.48,NA,NA,NA,NA,NA,71.78,32.02,2.72,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 03 m-25.csv,16,PSY106 clump 25C,Mito 15,Mito,Object,1395,1.66,NA,NA,NA,NA,NA,486.44,3406.88,1058.22,1476212.5,319.33,NA,NA,NA,NA,NA,69.01,29.84,2.9,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 03 m-25.csv,18,PSY106 clump 25C,Mito 17,Mito,Object,453,0.539,NA,NA,NA,NA,NA,445.59,1647.03,851.77,385850,227.52,NA,NA,NA,NA,NA,71.85,28.8,3.1,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 03 m-25.csv,27,PSY106 clump 25C,Mito 26,Mito,Object,1141,1.36,NA,NA,NA,NA,NA,561.68,11714.89,1230.87,1404421.75,895.37,NA,NA,NA,NA,NA,65.68,33.2,2.87,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 03 m-35.csv,1,PSY106 clump 25C,ROIs 1,ROIs,Object,242298,288.5,239,2334,410.81,99538289,139.82,269.39,11714.89,697.43,169000000,216.45,4.84,30966.68,433.61,105000000,855.53,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
PSY106 clump 25C 03 m-35.csv,5,PSY106 clump 25C,Mito 4,Mito,Object,170,0.202,NA,NA,NA,NA,NA,527.14,1532.33,919.61,156334.27,232.12,NA,NA,NA,NA,NA,71.77,32.03,2.72,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 03 m-35.csv,16,PSY106 clump 25C,Mito 15,Mito,Object,1575,1.88,NA,NA,NA,NA,NA,486.44,4977.43,1055.64,1662632.62,347.7,NA,NA,NA,NA,NA,69,29.85,2.9,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 03 m-35.csv,17,PSY106 clump 25C,Mito 16,Mito,Object,1312,1.56,NA,NA,NA,NA,NA,530.36,11714.89,1198.64,1572614,860.95,NA,NA,NA,NA,NA,65.68,33.2,2.89,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 03 m-35.csv,19,PSY106 clump 25C,Mito 18,Mito,Object,512,0.61,NA,NA,NA,NA,NA,445.59,1647.03,851.19,435808.47,233.86,NA,NA,NA,NA,NA,71.85,28.8,3.1,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 03 m-50.csv,1,PSY106 clump 25C,ROIs 1,ROIs,Object,242298,288.5,239,2334,410.81,99538289,139.82,269.39,11714.89,697.43,169000000,216.45,4.84,30966.68,433.61,105000000,855.53,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
PSY106 clump 25C 03 m-50.csv,7,PSY106 clump 25C,Mito 6,Mito,Object,218,0.26,NA,NA,NA,NA,NA,499.55,1532.33,917.69,200057.11,245.73,NA,NA,NA,NA,NA,71.77,32.03,2.73,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 03 m-50.csv,15,PSY106 clump 25C,Mito 14,Mito,Object,633,0.754,NA,NA,NA,NA,NA,445.59,1812.5,851.32,538886.5,248.54,NA,NA,NA,NA,NA,71.83,28.79,3.11,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 03 m-50.csv,16,PSY106 clump 25C,Mito 15,Mito,Object,1942,2.31,NA,NA,NA,NA,NA,452.7,6186.36,1042.39,2024315.38,381.82,NA,NA,NA,NA,NA,69,29.87,2.9,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 03 m-50.csv,17,PSY106 clump 25C,Mito 16,Mito,Object,1608,1.91,NA,NA,NA,NA,NA,524.06,11714.89,1160.42,1865956.87,803.9,NA,NA,NA,NA,NA,65.68,33.21,2.92,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 04 m-25.csv,1,PSY106 clump 25C,ROIs 1,ROIs,Object,258510,307.81,226,1924,429.34,111000000,132.59,218.03,8911.74,707.97,183000000,210.51,4.11,24242.13,452.32,117000000,802.91,NA,NA,NA,5,NA,NA,NA,NA,NA,NA
PSY106 clump 25C 04 m-25.csv,4,PSY106 clump 25C,Mito 3,Mito,Object,233,0.277,NA,NA,NA,NA,NA,679.36,1839.13,1170.59,272748.09,221.66,NA,NA,NA,NA,NA,60.37,16.22,2.21,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 04 m-25.csv,5,PSY106 clump 25C,Mito 4,Mito,Object,1490,1.77,NA,NA,NA,NA,NA,567.58,2019.21,1085.3,1617100.88,239.07,NA,NA,NA,NA,NA,59.43,20.54,2.84,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 04 m-25.csv,15,PSY106 clump 25C,Mito 14,Mito,Object,338,0.402,NA,NA,NA,NA,NA,582.3,1679.59,1068.89,361284.91,213.48,NA,NA,NA,NA,NA,63.4,14.91,2.55,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 04 m-25.csv,23,PSY106 clump 25C,Mito 22,Mito,Object,603,0.718,NA,NA,NA,NA,NA,493.24,1372.6,831.59,501446.22,153.44,NA,NA,NA,NA,NA,61.35,15.36,3.3,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 04 m-25.csv,24,PSY106 clump 25C,Mito 23,Mito,Object,1142,1.36,NA,NA,NA,NA,NA,571.83,1924.63,1134.9,1296055.75,261.17,NA,NA,NA,NA,NA,64.23,17.49,2.53,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 04 m-35.csv,1,PSY106 clump 25C,ROIs 1,ROIs,Object,258510,307.81,226,1924,429.34,111000000,132.59,218.03,8911.74,707.97,183000000,210.51,4.11,24242.13,452.32,117000000,802.91,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
PSY106 clump 25C 04 m-35.csv,4,PSY106 clump 25C,Mito 3,Mito,Object,1679,2,NA,NA,NA,NA,NA,533.98,2019.21,1078.69,1811118.88,238.75,NA,NA,NA,NA,NA,59.43,20.54,2.85,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 04 m-35.csv,14,PSY106 clump 25C,Mito 13,Mito,Object,387,0.461,NA,NA,NA,NA,NA,582.3,1679.59,1057.44,409227.47,215.53,NA,NA,NA,NA,NA,63.41,14.92,2.55,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 04 m-35.csv,15,PSY106 clump 25C,Mito 14,Mito,Object,1307,1.56,NA,NA,NA,NA,NA,571.83,1924.63,1128.15,1474491.5,260.69,NA,NA,NA,NA,NA,64.24,17.48,2.53,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 04 m-35.csv,22,PSY106 clump 25C,Mito 21,Mito,Object,987,1.18,NA,NA,NA,NA,NA,493.24,1839.13,917.6,905669.69,231.38,NA,NA,NA,NA,NA,61.09,15.6,3,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 04 m-50.csv,1,PSY106 clump 25C,ROIs 1,ROIs,Object,258510,307.81,226,1924,429.34,111000000,132.59,218.03,8911.74,707.97,183000000,210.51,4.11,24242.13,452.32,117000000,802.91,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
PSY106 clump 25C 04 m-50.csv,5,PSY106 clump 25C,Mito 4,Mito,Object,1735,2.07,NA,NA,NA,NA,NA,571.83,1924.63,1117.54,1938934.63,255.64,NA,NA,NA,NA,NA,64.25,17.49,2.52,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 04 m-50.csv,6,PSY106 clump 25C,Mito 5,Mito,Object,2052,2.44,NA,NA,NA,NA,NA,533.98,2019.21,1067.25,2189998,235.59,NA,NA,NA,NA,NA,59.42,20.55,2.86,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 04 m-50.csv,14,PSY106 clump 25C,Mito 13,Mito,Object,492,0.586,NA,NA,NA,NA,NA,566.8,1679.59,1036.28,509847.34,212.38,NA,NA,NA,NA,NA,63.4,14.94,2.59,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 04 m-50.csv,23,PSY106 clump 25C,Mito 22,Mito,Object,1277,1.52,NA,NA,NA,NA,NA,486.95,1839.13,904.12,1154555.5,231.75,NA,NA,NA,NA,NA,61.09,15.61,3,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 10 01 m-25.csv,1,PSY106 clump 25C 10,ROIs 1,ROIs,Object,NA,258.22,244,1917,416.4,90303295,119.34,276.4,3836.66,689.24,149000000,181.83,1e-6,23416.35,435.82,94515488,786.4,NA,NA,NA,8,NA,460,1044,679.85,147000000,67.77
PSY106 clump 25C 10 01 m-25.csv,3,PSY106 clump 25C 10,Mito 2,Mito,Object,NA,0.187,NA,NA,NA,NA,NA,686.47,1423.76,1037.3,162856.67,180.76,NA,NA,NA,NA,NA,22.32,28.51,2.1,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 10 01 m-25.csv,4,PSY106 clump 25C 10,Mito 3,Mito,Object,NA,0.581,NA,NA,NA,NA,NA,631.7,1767.16,1112.07,542689.25,244.9,NA,NA,NA,NA,NA,25.64,30.77,2.65,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 10 01 m-25.csv,5,PSY106 clump 25C 10,Mito 4,Mito,Object,NA,0.152,NA,NA,NA,NA,NA,542.06,1064.83,765.98,98044.96,119.55,NA,NA,NA,NA,NA,26.64,31.2,1.99,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 10 01 m-25.csv,6,PSY106 clump 25C 10,Mito 5,Mito,Object,NA,0.169,NA,NA,NA,NA,NA,783.75,1371.28,1009.58,143360.83,120.71,NA,NA,NA,NA,NA,28.67,31.33,2.09,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 10 01 m-25.csv,10,PSY106 clump 25C 10,Mito 9,Mito,Object,NA,0.572,NA,NA,NA,NA,NA,544.17,1812.22,1084.37,520498.66,249.4,NA,NA,NA,NA,NA,26.54,28.1,2.62,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 10 01 m-25.csv,18,PSY106 clump 25C 10,Mito 17,Mito,Object,NA,0.117,NA,NA,NA,NA,NA,626.92,1415.42,907.72,88956.49,158.27,NA,NA,NA,NA,NA,24.21,28.37,3.05,NA,1,NA,NA,NA,NA,NA
PSY106 clump 25C 10 01 m-25.csv,19,PSY106 clump 25C 10,Mito 18,Mito,Object,NA,0.348,NA,NA,NA,NA,NA,578.83,1674.12,940.27,274559.16,209.21,NA,NA,NA,NA,NA,28.96,29.88,3.23,NA,1,NA,NA,NA,NA,NA
