filename,Name,ID,Volume (µm³),Min (roGFP 470),Max (roGFP 470),Mean (roGFP 470),Sum (roGFP 470),Standard Deviation (roGFP 470),Min (mCherry double),Max (mCherry double),Mean (mCherry double),Sum (mCherry double),Standard Deviation (mCherry double),"Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))",Centroid X (µm),Centroid Y (µm),Centroid Z (µm),Item Name,Population,Type,Number of contained Mito,Compartment ROIs ID,ExtracellularBackground
GTY030 colony 25C 01 m-35.csv,Mito 2,3,0.157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,482.39,1176.21,818.12,107992.16,148.34,NA,NA,NA,NA,NA,29.28,50.53,1.52,GTY030 colony 25C,Mito,Object,NA,1,509.37
GTY030 colony 25C 01 m-35.csv,Mito 3,4,0.0369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,564.58,1301.29,831.61,25779.92,176.07,NA,NA,NA,NA,NA,29.21,48.3,1.55,GTY030 colony 25C,Mito,Object,NA,1,509.37
GTY030 colony 25C 01 m-35.csv,Mito 4,5,0.0417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,613.85,1268.86,862.97,30203.8,185.06,NA,NA,NA,NA,NA,29.32,51.42,1.82,GTY030 colony 25C,Mito,Object,NA,1,509.37
GTY030 colony 25C 01 m-35.csv,Mito 8,9,0.0726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,483.86,1363.47,759.56,46333.14,215.96,NA,NA,NA,NA,NA,31.05,48.01,2.13,GTY030 colony 25C,Mito,Object,NA,1,509.37
GTY030 colony 25C 01 m-35.csv,Mito 16,17,0.0405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,417.88,1097.4,654.03,22237.01,172.19,NA,NA,NA,NA,NA,30.87,48.42,3.26,GTY030 colony 25C,Mito,Object,NA,1,509.37
GTY030 colony 25C 01 m-35.csv,Mito 17,18,0.256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,413.72,1425.03,722.38,155310.83,200.59,NA,NA,NA,NA,NA,28.97,50.16,3.12,GTY030 colony 25C,Mito,Object,NA,1,509.37
GTY030 colony 25C 01 m-35.csv,Mito 19,20,1.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,371.58,4319.65,992.14,1155842.88,412.12,NA,NA,NA,NA,NA,31.23,51.39,2.3,GTY030 colony 25C,Mito,Object,NA,1,509.37
GTY030 colony 25C 01 m-50.csv,ROIs 1,1,174.38,424,857,562.07,82318129,41.93,216,1157,351.38,51461216,93.44,260.9,4319.65,564.05,82606688,124.09,102.9,8198.29,368.35,53945696,327.86,NA,NA,NA,GTY030 colony 25C,ROIs,Object,9,NA,509.37
GTY030 colony 25C 01 m-50.csv,Mito 1,2,0.0643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,553.39,1418.16,838.41,45274.06,194.38,NA,NA,NA,NA,NA,29.21,48.3,1.53,GTY030 colony 25C,Mito,Object,NA,1,509.37
GTY030 colony 25C 01 m-50.csv,Mito 2,3,0.0452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,576.41,1053.01,788.19,29951.33,119.75,NA,NA,NA,NA,NA,31.48,48.71,1.41,GTY030 colony 25C,Mito,Object,NA,1,509.37
GTY030 colony 25C 01 m-50.csv,Mito 3,4,0.0357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,554.76,740.09,641.44,19243.12,50.03,NA,NA,NA,NA,NA,29.14,49.72,1.59,GTY030 colony 25C,Mito,Object,NA,1,509.37
GTY030 colony 25C 01 m-50.csv,Mito 4,5,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,482.39,1176.21,790.18,238634.95,129.49,NA,NA,NA,NA,NA,29.37,50.53,1.51,GTY030 colony 25C,Mito,Object,NA,1,509.37
GTY030 colony 25C 01 m-50.csv,Mito 6,7,0.0726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,613.85,1268.86,853.01,52033.36,162.1,NA,NA,NA,NA,NA,29.34,51.42,1.82,GTY030 colony 25C,Mito,Object,NA,1,509.37
GTY030 colony 25C 01 m-50.csv,Mito 9,10,0.104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,449.25,1363.47,738.63,64260.87,208.84,NA,NA,NA,NA,NA,31.04,48.01,2.14,GTY030 colony 25C,Mito,Object,NA,1,509.37
GTY030 colony 25C 01 m-50.csv,Mito 17,18,0.0643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386.23,1097.4,640.33,34577.68,169.53,NA,NA,NA,NA,NA,30.86,48.42,3.28,GTY030 colony 25C,Mito,Object,NA,1,509.37
GTY030 colony 25C 01 m-50.csv,Mito 18,19,0.432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,413.72,1916.05,724.73,263075.38,211.75,NA,NA,NA,NA,NA,28.94,50.12,3.12,GTY030 colony 25C,Mito,Object,NA,1,509.37
GTY030 colony 25C 01 m-50.csv,Mito 19,20,2.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,316.11,4319.65,929.04,1720586.88,387.65,NA,NA,NA,NA,NA,31.08,51.32,2.26,GTY030 colony 25C,Mito,Object,NA,1,509.37
GTY030 colony 25C 02 m-25.csv,ROIs 1,1,327.49,418,1296,574.2,158000000,49.05,212,2160,409.87,113000000,138.74,229.86,12057.67,571.86,157000000,165.29,11.56,23116.05,425.95,117000000,714.38,NA,NA,NA,GTY030 colony 25C,ROIs,Object,6,NA,509.37
GTY030 colony 25C 02 m-25.csv,Mito 4,5,0.789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,426.13,1557.97,763.55,506236.13,158.53,NA,NA,NA,NA,NA,39.69,56.12,1.63,GTY030 colony 25C,Mito,Object,NA,1,509.37
GTY030 colony 25C 02 m-25.csv,Mito 6,7,1.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,429.03,3336.24,1008.99,1042291.06,413.42,NA,NA,NA,NA,NA,38.04,52.78,2.43,GTY030 colony 25C,Mito,Object,NA,1,509.37
GTY030 colony 25C 02 m-25.csv,Mito 7,8,1.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,423.34,1974.36,863.28,919391.81,256.6,NA,NA,NA,NA,NA,37.3,55.99,2.15,GTY030 colony 25C,Mito,Object,NA,1,509.37
GTY030 colony 25C 02 m-25.csv,Mito 10,11,0.925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,326.3,4970.42,901.37,700361.75,562.22,NA,NA,NA,NA,NA,39.89,54.31,2.92,GTY030 colony 25C,Mito,Object,NA,1,509.37
GTY030 colony 25C 02 m-25.csv,Mito 11,12,1.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,363.11,1855.2,776.98,903628.06,241.18,NA,NA,NA,NA,NA,39.37,58.24,3.01,GTY030 colony 25C,Mito,Object,NA,1,509.37
GTY030 colony 25C 02 m-25.csv,Mito 21,22,0.337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,380.75,1642.21,775.35,219424.19,248.21,NA,NA,NA,NA,NA,41.99,56.39,3.43,GTY030 colony 25C,Mito,Object,NA,1,509.37
GTY030 colony 25C 02 m-35.csv,ROIs 1,1,327.49,418,1296,574.2,158000000,49.05,212,2160,409.87,113000000,138.74,229.86,12057.67,571.86,157000000,165.29,11.56,23116.05,425.95,117000000,714.38,NA,NA,NA,GTY030 colony 25C,ROIs,Object,6,NA,509.37
GTY030 colony 25C 02 m-35.csv,Mito 5,6,1.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,405.81,3336.24,998.97,1150815.13,419.41,NA,NA,NA,NA,NA,38.03,52.77,2.43,GTY030 colony 25C,Mito,Object,NA,1,509.37
GTY030 colony 25C 02 m-35.csv,Mito 6,7,1.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,408.86,1974.36,846.5,1045425.88,253.72,NA,NA,NA,NA,NA,37.3,55.99,2.18,GTY030 colony 25C,Mito,Object,NA,1,509.37
GTY030 colony 25C 02 m-35.csv,Mito 7,8,1.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,421.79,1557.97,753.98,639373.13,158.76,NA,NA,NA,NA,NA,39.73,56.13,1.63,GTY030 colony 25C,Mito,Object,NA,1,509.37
GTY030 colony 25C 02 m-35.csv,Mito 9,10,1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,326.3,4970.42,904.22,794812.94,567.03,NA,NA,NA,NA,NA,39.88,54.29,2.91,GTY030 colony 25C,Mito,Object,NA,1,509.37
GTY030 colony 25C 02 m-35.csv,Mito 10,11,1.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,363.11,1855.2,766.37,1016974.25,244.66,NA,NA,NA,NA,NA,39.41,58.19,3.03,GTY030 colony 25C,Mito,Object,NA,1,509.37
GTY030 colony 25C 02 m-35.csv,Mito 18,19,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,380.75,1642.21,770.63,242748.55,244,NA,NA,NA,NA,NA,41.99,56.39,3.43,GTY030 colony 25C,Mito,Object,NA,1,509.37
GTY030 colony 25C 02 m-50.csv,ROIs 1,1,327.49,418,1296,574.2,158000000,49.05,212,2160,409.87,113000000,138.74,229.86,12057.67,571.86,157000000,165.29,11.56,23116.05,425.95,117000000,714.38,NA,NA,NA,GTY030 colony 25C,ROIs,Object,5,NA,509.37
GTY030 colony 25C 02 m-50.csv,Mito 5,6,1.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,421.79,1557.97,738.23,842325.88,154.41,NA,NA,NA,NA,NA,39.75,56.14,1.65,GTY030 colony 25C,Mito,Object,NA,1,509.37
GTY030 colony 25C 02 m-50.csv,Mito 7,8,2.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,326.3,4970.42,935.34,2352385.25,478.29,NA,NA,NA,NA,NA,38.85,53.44,2.66,GTY030 colony 25C,Mito,Object,NA,1,509.37
GTY030 colony 25C 02 m-50.csv,Mito 8,9,1.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,393.33,1974.36,828.63,1295971.25,250.06,NA,NA,NA,NA,NA,37.31,55.98,2.21,GTY030 colony 25C,Mito,Object,NA,1,509.37
GTY030 colony 25C 02 m-50.csv,Mito 10,11,2.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,355.15,1855.2,755.91,1308488.63,251.48,NA,NA,NA,NA,NA,39.48,58.11,3.06,GTY030 colony 25C,Mito,Object,NA,1,509.37
GTY030 colony 25C 02 m-50.csv,Mito 15,16,0.439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,380.75,1642.21,754.61,278452.81,237.85,NA,NA,NA,NA,NA,41.98,56.4,3.44,GTY030 colony 25C,Mito,Object,NA,1,509.37
GTY030 colony 25C 03 m-25.csv,ROIs 1,1,326.94,414,1159,600.18,165000000,55.81,220,1539,395.1,108000000,112.23,241.29,6287.19,602.19,165000000,149.03,13.41,19489.91,411.53,113000000,628.8,NA,NA,NA,GTY030 colony 25C,ROIs,Object,5,NA,509.37
GTY030 colony 25C 03 m-25.csv,Mito 12,13,1.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,459.92,1549.27,835.53,864770.19,176.1,NA,NA,NA,NA,NA,50.24,15.08,1.98,GTY030 colony 25C,Mito,Object,NA,1,509.37
GTY030 colony 25C 03 m-25.csv,Mito 13,14,0.797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,443.34,1276.33,806.16,539318.06,140.73,NA,NA,NA,NA,NA,52.7,15.98,2.71,GTY030 colony 25C,Mito,Object,NA,1,509.37
GTY030 colony 25C 03 m-25.csv,Mito 14,15,0.928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368.32,1733,847.59,660271.38,181.7,NA,NA,NA,NA,NA,51.8,19.1,2.78,GTY030 colony 25C,Mito,Object,NA,1,509.37
GTY030 colony 25C 03 m-25.csv,Mito 15,16,2.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,393.02,1962.65,798.43,1457924.13,198.02,NA,NA,NA,NA,NA,54.67,20.29,2.71,GTY030 colony 25C,Mito,Object,NA,1,509.37
GTY030 colony 25C 03 m-25.csv,Mito 17,18,0.962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,387.2,1493.6,746,602771.44,179.81,NA,NA,NA,NA,NA,49.64,17.89,3.16,GTY030 colony 25C,Mito,Object,NA,1,509.37
GTY030 colony 25C 03 m-35.csv,ROIs 1,1,326.94,414,1159,600.18,165000000,55.81,220,1539,395.1,108000000,112.23,241.29,6287.19,602.19,165000000,149.03,13.41,19489.91,411.53,113000000,628.8,NA,NA,NA,GTY030 colony 25C,ROIs,Object,5,NA,509.37
GTY030 colony 25C 03 m-35.csv,Mito 11,12,1.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,451.73,1549.27,827.09,990024.81,175.61,NA,NA,NA,NA,NA,50.24,15.09,1.97,GTY030 colony 25C,Mito,Object,NA,1,509.37
GTY030 colony 25C 03 m-35.csv,Mito 12,13,0.928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,412.27,1276.33,799.23,622597.5,143.14,NA,NA,NA,NA,NA,52.69,15.98,2.72,GTY030 colony 25C,Mito,Object,NA,1,509.37
GTY030 colony 25C 03 m-35.csv,Mito 13,14,1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368.32,1733,847,747901.44,181.51,NA,NA,NA,NA,NA,51.8,19.1,2.78,GTY030 colony 25C,Mito,Object,NA,1,509.37
GTY030 colony 25C 03 m-35.csv,Mito 14,15,2.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,385.8,2248.8,798.98,1673857.75,204.94,NA,NA,NA,NA,NA,54.69,20.27,2.7,GTY030 colony 25C,Mito,Object,NA,1,509.37
GTY030 colony 25C 03 m-35.csv,Mito 15,16,1.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,347.83,1493.6,746.01,715419,186.37,NA,NA,NA,NA,NA,49.64,17.89,3.16,GTY030 colony 25C,Mito,Object,NA,1,509.37
GTY030 colony 25C 03 m-50.csv,ROIs 1,1,326.94,414,1159,600.18,165000000,55.81,220,1539,395.1,108000000,112.23,241.29,6287.19,602.19,165000000,149.03,13.41,19489.91,411.53,113000000,628.8,NA,NA,NA,GTY030 colony 25C,ROIs,Object,5,NA,509.37
GTY030 colony 25C 03 m-50.csv,Mito 11,12,1.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,430.08,1549.27,810.58,1278278.63,176.11,NA,NA,NA,NA,NA,50.24,15.11,1.98,GTY030 colony 25C,Mito,Object,NA,1,509.37
GTY030 colony 25C 03 m-50.csv,Mito 12,13,1.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,376.98,1276.33,784.01,798121.31,153.04,NA,NA,NA,NA,NA,52.69,15.96,2.75,GTY030 colony 25C,Mito,Object,NA,1,509.37
GTY030 colony 25C 03 m-50.csv,Mito 13,14,1.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368.32,1733,845.61,940322.5,190.52,NA,NA,NA,NA,NA,51.8,19.1,2.79,GTY030 colony 25C,Mito,Object,NA,1,509.37
GTY030 colony 25C 03 m-50.csv,Mito 14,15,3.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,374.97,2510.99,793.22,2071091.13,207.22,NA,NA,NA,NA,NA,54.69,20.27,2.69,GTY030 colony 25C,Mito,Object,NA,1,509.37
GTY030 colony 25C 03 m-50.csv,Mito 16,17,1.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,347.83,1493.6,735.88,937513.44,186.27,NA,NA,NA,NA,NA,49.65,17.91,3.18,GTY030 colony 25C,Mito,Object,NA,1,509.37
GTY030 colony 25C 10 01 m-25.csv,ROIs 1,1,258.15,420,2579,577.23,125000000,75.99,232,2756,461.94,100000000,185.64,169.97,36987.96,580.95,126000000,399.55,0.529,42212.52,493.44,107000000,1185.14,NA,NA,NA,GTY030 colony 25C 10,ROIs,Object,5,NA,511.57
GTY030 colony 25C 10 01 m-25.csv,Mito 2,3,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,423.58,1289.4,754.37,822264.5,144.83,NA,NA,NA,NA,NA,28.34,19.18,2.14,GTY030 colony 25C 10,Mito,Object,NA,1,511.57
GTY030 colony 25C 10 01 m-25.csv,Mito 3,4,0.643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,462.08,1147.91,763.44,412256.22,125.28,NA,NA,NA,NA,NA,26.01,13.15,2.17,GTY030 colony 25C 10,Mito,Object,NA,1,511.57
GTY030 colony 25C 10 01 m-25.csv,Mito 6,7,0.316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500.56,1020.43,716.6,189898.7,95.49,NA,NA,NA,NA,NA,25.9,15.2,2.32,GTY030 colony 25C 10,Mito,Object,NA,1,511.57
GTY030 colony 25C 10 01 m-25.csv,Mito 7,8,0.262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,407.94,2522.13,1007.85,221728.08,338.8,NA,NA,NA,NA,NA,28.98,17.08,3,GTY030 colony 25C 10,Mito,Object,NA,1,511.57
GTY030 colony 25C 10 01 m-25.csv,Mito 12,13,1.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,415.23,3546.69,693.9,634915.81,191.59,NA,NA,NA,NA,NA,28.44,15.44,3,GTY030 colony 25C 10,Mito,Object,NA,1,511.57
GTY030 colony 25C 10 01 m-35.csv,ROIs 1,1,258.15,420,2579,577.23,125000000,75.99,232,2756,461.94,100000000,185.64,169.97,36987.96,580.95,126000000,399.55,0.529,42212.52,493.44,107000000,1185.14,NA,NA,NA,GTY030 colony 25C 10,ROIs,Object,5,NA,511.57
GTY030 colony 25C 10 01 m-35.csv,Mito 2,3,1.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,423.58,1289.4,750.84,938544.06,143.48,NA,NA,NA,NA,NA,28.34,19.17,2.13,GTY030 colony 25C 10,Mito,Object,NA,1,511.57
GTY030 colony 25C 10 01 m-35.csv,Mito 3,4,0.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,462.08,1147.91,758.19,458702.81,125.64,NA,NA,NA,NA,NA,25.99,13.16,2.16,GTY030 colony 25C 10,Mito,Object,NA,1,511.57
GTY030 colony 25C 10 01 m-35.csv,Mito 4,5,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500.56,1020.43,712.78,215259.19,95.23,NA,NA,NA,NA,NA,25.9,15.2,2.33,GTY030 colony 25C 10,Mito,Object,NA,1,511.57
GTY030 colony 25C 10 01 m-35.csv,Mito 5,6,0.294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,407.94,2522.13,985.06,243310.61,341.93,NA,NA,NA,NA,NA,28.98,17.09,2.99,GTY030 colony 25C 10,Mito,Object,NA,1,511.57
GTY030 colony 25C 10 01 m-35.csv,Mito 10,11,1.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,415.23,3546.69,693.4,707265.5,189.69,NA,NA,NA,NA,NA,28.43,15.45,2.99,GTY030 colony 25C 10,Mito,Object,NA,1,511.57
GTY030 colony 25C 10 01 m-50.csv,ROIs 1,1,258.15,420,2579,577.23,125000000,75.99,232,2756,461.94,100000000,185.64,169.97,36987.96,580.95,126000000,399.55,0.529,42212.52,493.44,107000000,1185.14,NA,NA,NA,GTY030 colony 25C 10,ROIs,Object,5,NA,511.57
GTY030 colony 25C 10 01 m-50.csv,Mito 1,2,1.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,423.58,1289.4,738.39,1140815.13,142.52,NA,NA,NA,NA,NA,28.33,19.15,2.12,GTY030 colony 25C 10,Mito,Object,NA,1,511.57
GTY030 colony 25C 10 01 m-50.csv,Mito 3,4,0.879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,391.38,1147.91,747.6,551728.13,126.17,NA,NA,NA,NA,NA,26,13.16,2.16,GTY030 colony 25C 10,Mito,Object,NA,1,511.57
GTY030 colony 25C 10 01 m-50.csv,Mito 5,6,0.456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500.56,1020.43,710.41,272088.19,98.76,NA,NA,NA,NA,NA,25.9,15.2,2.33,GTY030 colony 25C 10,Mito,Object,NA,1,511.57
GTY030 colony 25C 10 01 m-50.csv,Mito 6,7,0.336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,382.99,2609.71,995.88,280836.84,365.71,NA,NA,NA,NA,NA,28.98,17.09,3,GTY030 colony 25C 10,Mito,Object,NA,1,511.57
GTY030 colony 25C 10 01 m-50.csv,Mito 10,11,1.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,407.3,6246.27,703.11,869751.06,281.88,NA,NA,NA,NA,NA,28.43,15.46,2.99,GTY030 colony 25C 10,Mito,Object,NA,1,511.57
GTY030 colony 25C 10 02 m-25.csv,ROIs 1,1,287.53,413,1359,573.25,138000000,51.66,230,1967,420.13,101000000,128.75,231.81,9982.7,573.61,139000000,175.79,4.13,26656.11,440.44,106000000,795.95,NA,NA,NA,GTY030 colony 25C 10,ROIs,Object,5,NA,511.57
GTY030 colony 25C 10 02 m-25.csv,Mito 4,5,0.844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,346.83,1481.96,706.81,501127.5,156.27,NA,NA,NA,NA,NA,43.19,16.65,2.68,GTY030 colony 25C 10,Mito,Object,NA,1,511.57
GTY030 colony 25C 10 02 m-25.csv,Mito 5,6,0.472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,448.87,2121.01,734.28,290774.22,187.59,NA,NA,NA,NA,NA,41.34,19.4,2.08,GTY030 colony 25C 10,Mito,Object,NA,1,511.57
GTY030 colony 25C 10 02 m-25.csv,Mito 8,9,0.394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,317.76,4323.34,879.5,291114.59,469.23,NA,NA,NA,NA,NA,40.17,17.89,2.35,GTY030 colony 25C 10,Mito,Object,NA,1,511.57
GTY030 colony 25C 10 02 m-25.csv,Mito 9,10,1.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,446.61,1396.43,750.4,641591.75,131.81,NA,NA,NA,NA,NA,44.26,19.24,1.9,GTY030 colony 25C 10,Mito,Object,NA,1,511.57
GTY030 colony 25C 10 02 m-25.csv,Mito 13,14,0.189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,485.04,959.03,735.32,116915.2,94.99,NA,NA,NA,NA,NA,42.1,18.97,3.59,GTY030 colony 25C 10,Mito,Object,NA,1,511.57
